id;cliente;sexo;nascimento;endereco;bairro;cidade;estado;email;telefone
1;Salma Wilkerson;f;22/03/1992;8387 North Ivy Drive;Ballari (Bellary);Maybeury;AY;eminence@yahoo.ca;(763) 891-0995
2;Frank Waters;m;31/07/1942;383 East Birchpond Avenue;Koppal;New Eucha;RO;flakeg@optonline.net;(681) 889-5671
3;Katrina Keller;f;23/09/1984;782 Durham Ave.;Koppal;Lynchburg;NR;;
4;Gary Perez;m;27/08/1952;9631 Rockcrest Lane;Dakshina Kannada;Maybeury;AY;wenzlaff@outlook.com;
5;Jason Conley;m;10/01/1956;9281 Constitution Dr.;Uttara Kannada (Karwar);Lynchburg;RO;marcs@yahoo.com;
6;Kaylen Kennedy;f;16/10/1990;72 Grove St.;Chikkamagaluru (Chikmagalur);Avis;NR;dimensio@gmail.com;
7;August Gill;m;21/05/1945;22 Williams Lane;Hassan;Black Springs;AY;okroeger@comcast.net;(439) 310-3843
8;Carleigh Hutchinson;f;16/08/1957;520 Cemetery St.;Udupi;Maybeury;TK;klaudon@sbcglobal.net;
9;Milton Mckay;m;30/08/1947;740 S. Poplar Ave.;Gadag;New Eucha;AR;goresky@gmail.com;(862) 715-9086
10;Alicia Maxwell;f;22/11/1956;131 Trout Dr.;Koppal;Avis;TK;gregh@me.com;(349) 432-0776
11;Mathias Taylor;m;04/05/1966;434 Alton Road;Shivamogga (Shimoga);Black Springs;RO;mschwartz@comcast.net;
12;Carolyn Donovan;f;27/03/1946;39 Railroad St.;Kolar;Maybeury;TK;mallanmba@live.com;(599) 392-6241
13;Julissa Wang;f;04/08/1982;8174 Cypress Court;Chikkamagaluru (Chikmagalur);Maybeury;AY;bwcarty@yahoo.com;(971) 558-1314
14;Carmen Thompson;f;19/04/1971;10 Trout Dr.;Kodagu;Avis;TK;ubergeeb@icloud.com;
15;Caroline Potter;f;19/03/1967;8761 Gonzales Drive;Kolar;Avis;NR;parrt@verizon.net;(587) 601-9624
16;Zoe Whitehead;f;14/10/1941;49 Rock Creek Ave.;Hassan;Avis;NR;cmdrgravy@optonline.net;
17;Anne Baxter;f;23/01/1995;7 Creek Drive;Chikkamagaluru (Chikmagalur);Avis;NR;graham@verizon.net;
18;Phillip Shepard;m;22/11/1993;391 Fieldstone Street;Koppal;New Eucha;RO;hauma@icloud.com;(841) 582-7151
19;Sariah Randall;f;25/06/1990;8196 Laurel Drive;Hassan;Maybeury;AY;mnemonic@outlook.com;(457) 487-9751
20;Courtney Moody;f;09/10/1943;946 Shub Farm St.;Mandya;Maybeury;AY;earmstro@outlook.com;(216) 618-9395
21;Anna Deleon;;03/03/1948;167 Pacific St.;Udupi;Avis;TK;kalpol@sbcglobal.net;
22;Serena Steele;f;22/03/1997;9216 Linda Drive;Kalaburagi (Gulbarga);Maybeury;AY;boftx@live.com;(379) 743-0390
23;Lily Duran;f;24/11/1998;7 Elmwood St.;Ballari (Bellary);Maybeury;AY;aegreene@live.com;
24;Ruby Holloway;f;28/01/1967;64 Alderwood St.;Yadgir;Maybeury;;tjensen@gmail.com;
25;Gustavo Miles;m;23/05/1999;7963 Cedarwood Lane;Chikballapur;New Eucha;AR;mhouston@optonline.net;(260) 596-5919
26;Jaylyn Mullen;f;12/07/1979;8317 West El Dorado Ave.;Kodagu;Maybeury;AY;mrobshaw@yahoo.com;(937) 475-5893
27;Madeline Brown;f;06/02/1982;8859 Canal St.;Chikkamagaluru (Chikmagalur);Avis;NR;staikos@att.net;
28;Maci Curry;f;07/01/1996;9575 Green Lane;Kolar;Maybeury;AY;joehall@yahoo.com;(292) 939-1353
29;Yaretzi Abbott;f;25/08/1940;774 N. Willow St.;Chamarajanagar;Avis;NR;intlprog@icloud.com;(265) 206-7261
30;Lizeth Cooke;f;16/04/1952;44 West Manor Circle;Mandya;Avis;NR;mcnihil@verizon.net;
31;Russell Hall;m;13/02/1950;8448 SW. Sherman St.;Ballari (Bellary);Lynchburg;RO;rgarcia@me.com;(480) 298-0244
